Name,Birth Date,Space Flight (hr),Space Walks (hr),Mission
Joseph M. Acaba,5/17/1967,3307,13.0,STS-119
Loren W. Acton,3/7/1936,190,0.0,STS51-F
James C. Adamson,3/3/1946,334,0.0,STS-28
Thomas D. Akers,5/20/1951,814,29.0,STS-41
Buzz Aldrin,1/20/1930,289,8.0,Gemini12
Andrew M. Allen,8/4/1955,906,0.0,STS-46
Joseph P. Allen,6/27/1937,313,12.0,ST-5
Scott D. Altman,8/15/1959,1236,0.0,STS-90
William A. Anders,10/17/1933,147,0.0,Apollo8
Clayton C. Anderson,2/23/1959,4005,38.0,STS-117/120
Michael P. Anderson,12/25/1959,594,0.0,STS-89
Dominic A. Antonelli,8/23/1967,579,0.0,STS-119
Jerome Apt III ,4/18/1949,847,11.0,STS-37
Lee J. Archambault,8/25/1960,639,0.0,STS-117
Neil A. Armstrong,8/5/1930,205,2.0,Gemini8
Richard R. Arnold II ,11/26/1963,307,12.0,STS-119
Jeffrey S. Ashby,6/1/1954,655,0.0,STS-93
Serena M. Aunon,4/9/1976,0,0.0,
James P. Bagian,2/22/1952,337,0.0,STS-29
Ellen S. Baker,4/27/1953,686,0.0,STS-34
Michael A. Baker,10/27/1953,965,0.0,STS-43
Michael R. Barratt,4/16/1959,5075,5.0,ISS-19/20
Daniel T. Barry,12/30/1953,733,26.0,STS-72
John-David F. Bartoe,11/17/1944,190,0.0,STS51-F
Charles A. Bassett II ,12/30/1931,0,0.0,
Alan L. Bean,3/15/1932,1671,10.0,Apollo12
Robert L. Behnken,7/28/1970,708,37.0,STS-123
John E. Blaha,8/26/1942,3861,0.0,STS-29
Michael J. Bloomfield,3/16/1959,779,0.0,STS-86
Guion S. Bluford Jr. ,11/22/1942,689,0.0,STS-8
Karol J. Bobko,12/23/1937,386,0.0,STS-6
Eric A. Boe,10/1/1964,687,0.0,STS-126
Charles F. Bolden Jr. ,8/19/1946,680,0.0,STS-61C
Frank Borman,3/14/1928,477,0.0,Gemini7
Stephen G. Bowen,2/13/1964,970,47.0,STS-126
Kenneth D. Bowersox,11/14/1956,5078,13.0,STS-50
Charles E. Brady Jr. ,8/12/1951,405,0.0,STS-78
Vance D. Brand,5/9/1931,752,0.0,Apollo-SoyuzTestProject
