,Name,Birth Date,Missions,Space Flight (hr),Space Walks (hr),Mission 1,Mission 2,Mission 3,Mission 4,Mission 5
0,Joseph M. Acaba,5/17/1967,STS-119,3307,13.0,STS-119,,,,
1,Loren W. Acton,3/7/1936,STS51-F,190,0.0,STS51-F,,,,
2,James C. Adamson,3/3/1946,STS-28,334,0.0,STS-28,,,,
3,Thomas D. Akers,5/20/1951,STS-41,814,29.0,STS-41,,,,
4,Buzz Aldrin,1/20/1930,"Gemini12,Apollo11",289,8.0,Gemini12,Apollo11,,,
5,Andrew M. Allen,8/4/1955,STS-46,906,0.0,STS-46,,,,
6,Joseph P. Allen,6/27/1937,ST-5,313,12.0,ST-5,,,,
7,Scott D. Altman,8/15/1959,STS-90,1236,0.0,STS-90,,,,
8,William A. Anders,10/17/1933,Apollo8,147,0.0,Apollo8,,,,
9,Clayton C. Anderson,2/23/1959,STS-117/120,4005,38.0,STS-117/120,,,,
10,Michael P. Anderson,12/25/1959,STS-89,594,0.0,STS-89,,,,
11,Dominic A. Antonelli,8/23/1967,STS-119,579,0.0,STS-119,,,,
12,Jerome Apt III ,4/18/1949,STS-37,847,11.0,STS-37,,,,
13,Lee J. Archambault,8/25/1960,STS-117,639,0.0,STS-117,,,,
14,Neil A. Armstrong,8/5/1930,"Gemini8,Apollo11",205,2.0,Gemini8,Apollo11,,,
15,Richard R. Arnold II ,11/26/1963,STS-119,307,12.0,STS-119,,,,
16,Jeffrey S. Ashby,6/1/1954,STS-93,655,0.0,STS-93,,,,
17,Serena M. Aunon,4/9/1976,,0,0.0,,,,,
18,James P. Bagian,2/22/1952,STS-29,337,0.0,STS-29,,,,
19,Ellen S. Baker,4/27/1953,STS-34,686,0.0,STS-34,,,,
20,Michael A. Baker,10/27/1953,STS-43,965,0.0,STS-43,,,,
21,Michael R. Barratt,4/16/1959,ISS-19/20,5075,5.0,ISS-19/20,,,,
22,Daniel T. Barry,12/30/1953,STS-72,733,26.0,STS-72,,,,
23,John-David F. Bartoe,11/17/1944,STS51-F,190,0.0,STS51-F,,,,
24,Charles A. Bassett II ,12/30/1931,,0,0.0,,,,,
25,Alan L. Bean,3/15/1932,"Apollo12,Skylab3",1671,10.0,Apollo12,Skylab3,,,
26,Robert L. Behnken,7/28/1970,STS-123,708,37.0,STS-123,,,,
27,John E. Blaha,8/26/1942,STS-29,3861,0.0,STS-29,,,,
28,Michael J. Bloomfield,3/16/1959,STS-86,779,0.0,STS-86,,,,
29,Guion S. Bluford Jr. ,11/22/1942,STS-8,689,0.0,STS-8,,,,
30,Karol J. Bobko,12/23/1937,STS-6,386,0.0,STS-6,,,,
31,Eric A. Boe,10/1/1964,STS-126,687,0.0,STS-126,,,,
32,Charles F. Bolden Jr. ,8/19/1946,STS-61C,680,0.0,STS-61C,,,,
33,Frank Borman,3/14/1928,"Gemini7,Apollo8",477,0.0,Gemini7,Apollo8,,,
34,Stephen G. Bowen,2/13/1964,STS-126,970,47.0,STS-126,,,,
35,Kenneth D. Bowersox,11/14/1956,STS-50,5078,13.0,STS-50,,,,
36,Charles E. Brady Jr. ,8/12/1951,STS-78,405,0.0,STS-78,,,,
37,Vance D. Brand,5/9/1931,"Apollo-SoyuzTestProject,STS-5",752,0.0,Apollo-SoyuzTestProject,STS-5,,,
38,Daniel C. Brandenstein,1/17/1943,STS-8,789,0.0,STS-8,,,,
39,Randolph J. Bresnik,9/11/1967,STS-129,259,12.0,STS-129,,,,
40,Roy D. Bridges Jr. ,7/19/1943,STS51-F,190,0.0,STS51-F,,,,
41,Curtis L. Brown Jr. ,3/11/1956,STS-47,1383,0.0,STS-47,,,,
42,David M. Brown,4/16/1956,STS-107,382,0.0,STS-107,,,,
43,Mark N. Brown,11/18/1951,STS28,249,0.0,STS28,,,,
44,James F. Buchli,6/20/1945,"STS51-C,STS-48(Discovery",490,0.0,STS51-C,STS-48(Discovery,,,
45,Jay Clark Buckey,6/6/1956,STS-90,381,0.0,STS-90,,,,
46,John S. Bull,9/25/1934,,0,0.0,,,,,
