name,birth_date,space_flight,space_walks,mission,company_name,location,datum,status_mission
Dorothy M. Metcalf-Lindenberger,1975-05-02,362,0.0,STS-131,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2010-04-05 06:21:00-04,Success
James P. Dutton Jr. ,1968-11-20,362,0.0,STS-131,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2010-04-05 06:21:00-04,Success
Terry W. Virts Jr. ,1967-12-01,5122,18.0,STS-130,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2010-02-08 04:14:00-05,Success
Barry E. Wilmore,1962-12-29,4272,25.0,STS-129,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-11-16 14:28:00-05,Success
Robert L. Satcher Jr. ,1965-09-22,259,12.0,STS-129,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-11-16 14:28:00-05,Success
Randolph J. Bresnik,1967-09-11,259,12.0,STS-129,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-11-16 14:28:00-05,Success
Jose M. Hernandez,1962-08-07,332,0.0,STS-128,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-08-27 23:59:00-04,Success
Kevin A. Ford,1960-07-07,3781,0.0,STS-128,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-08-27 23:59:00-04,Success
Thomas H. Marshburn,1960-08-29,3871,24.0,STS-127,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-07-15 18:03:00-04,Success
Douglas G. Hurley,1966-10-21,683,0.0,STS-127,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-07-15 18:03:00-04,Success
Christopher J. Cassidy,1970-01-04,4376,31.0,STS-127,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-07-15 18:03:00-04,Success
K. Megan McArthur,1971-08-30,309,0.0,STS-125,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-05-11 14:01:00-04,Success
Gregory C. Johnson,1954-07-30,309,0.0,STS-125,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-05-11 14:01:00-04,Success
Michael T. Good,1962-10-13,592,30.0,STS-125,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-05-11 14:01:00-04,Success
Andrew J. Feustel,1965-08-25,687,42.0,STS-125,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-05-11 14:01:00-04,Success
Richard R. Arnold II ,1963-11-26,307,12.0,STS-119,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-03-15 19:43:00-04,Success
Dominic A. Antonelli,1967-08-23,579,0.0,STS-119,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-03-15 19:43:00-04,Success
Joseph M. Acaba,1967-05-17,3307,13.0,STS-119,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2009-03-15 19:43:00-04,Success
Robert Shane Kimbrough,1967-06-04,3720,25.0,STS-126,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-11-14 19:55:00-05,Success
Stephen G. Bowen,1964-02-13,970,47.0,STS-126,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-11-14 19:55:00-05,Success
Eric A. Boe,1964-10-01,687,0.0,STS-126,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-11-14 19:55:00-05,Success
Karen L. Nyberg,1969-10-07,4320,0.0,STS-124,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-05-31 17:02:00-04,Success
Kenneth T. Ham,1964-12-12,612,0.0,STS-124,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-05-31 17:02:00-04,Success
Ronald J. Garan Jr. ,1961-10-20,4271,27.0,STS-124,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-05-31 17:02:00-04,Success
Gregory H. Johnson,1962-05-12,755,0.0,STS-123,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-03-11 02:28:00-04,Success
Michael J. Foreman,1957-03-29,637,32.0,STS-123,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-03-11 02:28:00-04,Success
Robert L. Behnken,1970-07-28,708,37.0,STS-123,NASA,"LC-39A, Kennedy Space Center, Florida, USA",2008-03-11 02:28:00-04,Success
