,Company Name,Location,Datum,Detail, Rocket,Status Mission,Rocket 1,Rocket 2,Rocket 3
0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Fri Aug 07, 2020 05:12 UTC",StarlinkV1L9&BlackSky,50.0 ,Success,StarlinkV1L9,BlackSky,
1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Thu Aug 06, 2020 04:01 UTC",Gaofen-904&Q-SAT,29.75 ,Success,Gaofen-904,Q-SAT,
2,SpaceX,"Pad A, Boca Chica, Texas, USA","Tue Aug 04, 2020 23:57 UTC",150MeterHop,,Success,150MeterHop,,
3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Thu Jul 30, 2020 21:25 UTC",Ekspress-80&Ekspress-103,65.0 ,Success,Ekspress-80,Ekspress-103,
4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Jul 30, 2020 11:50 UTC",Perseverance,145.0 ,Success,Perseverance,,
5,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sat Jul 25, 2020 03:13 UTC","Ziyuan-303,Apocalypse-10&NJU-HKU1",64.68 ,Success,"Ziyuan-303,Apocalypse-10",NJU-HKU1,
6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Jul 23, 2020 14:26 UTC",ProgressMS-15,48.5 ,Success,ProgressMS-15,,
7,CASC,"LC-101, Wenchang Satellite Launch Center, China","Thu Jul 23, 2020 04:41 UTC",Tianwen-1,,Success,Tianwen-1,,
8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Jul 20, 2020 21:30 UTC",ANASIS-II,50.0 ,Success,ANASIS-II,,
9,JAXA,"LA-Y1, Tanegashima Space Center, Japan","Sun Jul 19, 2020 21:58 UTC",HopeMarsMission,90.0 ,Success,HopeMarsMission,,
10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA","Wed Jul 15, 2020 13:46 UTC",NROL-129,46.0 ,Success,NROL-129,,
11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Fri Jul 10, 2020 04:17 UTC","Jilin-102E,CentiSpace-1S2",28.3 ,Failure,"Jilin-102E,CentiSpace-1S2",,
12,CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Jul 09, 2020 12:11 UTC",Apstar-6D,29.15 ,Success,Apstar-6D,,
13,IAI,"Pad 1, Palmachim Airbase, Israel","Mon Jul 06, 2020 01:00 UTC",Ofek-16,,Success,Ofek-16,,
14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Jul 04, 2020 23:44 UTC",Shiyan-602,29.75 ,Success,Shiyan-602,,
15,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Sat Jul 04, 2020 21:19 UTC",PicsOrItDidn??¦tHappen,7.5 ,Failure,PicsOrItDidn??¦tHappen,,
16,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Jul 03, 2020 03:10 UTC",GaofenDuomo&BY-02,64.68 ,Success,GaofenDuomo,BY-02,
17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Jun 30, 2020 20:10 UTC",GPSIIISV03,50.0 ,Success,GPSIIISV03,,
18,CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jun 23, 2020 01:43 UTC",Beidou-3G3,29.15 ,Success,Beidou-3G3,,
19,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Jun 17, 2020 07:19 UTC","Gaofen-903,PixingIIIA&HEAD-5",29.75 ,Success,"Gaofen-903,PixingIIIA",HEAD-5,
20,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat Jun 13, 2020 09:21 UTC",StarlinkV1L8&SkySat16to18,50.0 ,Success,StarlinkV1L8,SkySat16to18,
21,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Sat Jun 13, 2020 05:12 UTC",Don'tstopmenow!,7.5 ,Success,Don'tstopmenow!,,
22,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Jun 10, 2020 18:31 UTC",Haiyang-1D,30.8 ,Success,Haiyang-1D,,
23,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Thu Jun 04, 2020 01:25 UTC",StarlinkV1L7,50.0 ,Success,StarlinkV1L7,,
24,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sun May 31, 2020 08:53 UTC",Gaofen-9-02&HEAD-4,29.75 ,Success,Gaofen-9-02,HEAD-4,
25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat May 30, 2020 19:22 UTC",SpaceXDemo-2,50.0 ,Success,SpaceXDemo-2,,
26,CASC,"Xichang Satellite Launch Center, China","Fri May 29, 2020 20:13 UTC",XJS-GandXJS-H,5.3 ,Success,XJS-GandXJS-H,,
27,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA","Mon May 25, 2020 19:50 UTC",DemoFlight,12.0 ,Failure,DemoFlight,,
28,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri May 22, 2020 07:31 UTC",Cosmos2546,,Success,Cosmos2546,,
29,MHI,"LA-Y2, Tanegashima Space Center, Japan","Wed May 20, 2020 17:31 UTC",HTV-9,112.5 ,Success,HTV-9,,
30,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Sun May 17, 2020 13:14 UTC",OTV-6(USSF-7),120.0 ,Success,OTV-6(USSF-7),,
31,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Tue May 12, 2020 01:16 UTC",Xingyun-201(Wuhan)&02,,Success,Xingyun-201(Wuhan),02,
32,CASC,"LC-101, Wenchang Satellite Launch Center, China","Tue May 05, 2020 10:00 UTC",TestFlight(NewCrewCapsule),,Success,TestFlight(NewCrewCapsule),,
33,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Apr 25, 2020 01:51 UTC",ProgressMS-14,48.5 ,Success,ProgressMS-14,,
34,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Apr 22, 2020 19:30 UTC",StarlinkV1L6,50.0 ,Success,StarlinkV1L6,,
35,IRGC,"Launch Plateform, Shahrud Missile Test Site","Wed Apr 22, 2020 03:59 UTC",Noor1,,Success,Noor1,,
36,CASC,"LC-2, Xichang Satellite Launch Center, China","Thu Apr 09, 2020 11:46 UTC",NusantaraDua,29.15 ,Failure,NusantaraDua,,
37,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Apr 09, 2020 08:05 UTC",SoyuzMS-16,48.5 ,Success,SoyuzMS-16,,
38,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Thu Mar 26, 2020 20:18 UTC",AEHF6,153.0 ,Success,AEHF6,,
39,CASC,"LC-3, Xichang Satellite Launch Center, China","Tue Mar 24, 2020 03:43 UTC",Yaogan-30-06,30.8 ,Success,Yaogan-30-06,,
40,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Mar 21, 2020 17:06 UTC",OneWeb#3,48.5 ,Success,OneWeb#3,,
41,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Mar 18, 2020 12:16 UTC",StarlinkV1L5,50.0 ,Success,StarlinkV1L5,,
42,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon Mar 16, 2020 18:28 UTC",Cosmos2545,,Success,Cosmos2545,,
43,CASC,"LC-201, Wenchang Satellite Launch Center, China","Mon Mar 16, 2020 13:34 UTC",XJY-6,,Failure,XJY-6,,
44,CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Mar 09, 2020 11:55 UTC",Beidou-3G2,29.15 ,Success,Beidou-3G2,,
45,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Sat Mar 07, 2020 04:50 UTC",CRS-20,50.0 ,Success,CRS-20,,
46,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Thu Feb 20, 2020 08:24 UTC",Meridian-Mn†­19L,48.5 ,Success,Meridian-Mn†­19L,,
47,CASC,"LC-3, Xichang Satellite Launch Center, China","Wed Feb 19, 2020 21:07 UTC",XJS-CtoF,29.75 ,Success,XJS-CtoF,,
48,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Feb 18, 2020 22:18 UTC",JCSAT-17&GEO-KOMPSAT2B,200.0 ,Success,JCSAT-17,GEO-KOMPSAT2B,
49,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Feb 17, 2020 15:05 UTC",StarlinkV1L4,50.0 ,Success,StarlinkV1L4,,
50,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Sat Feb 15, 2020 20:21 UTC",CRSNG-13,85.0 ,Success,CRSNG-13,,
51,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Mon Feb 10, 2020 04:03 UTC",SolarOrbiter,115.0 ,Success,SolarOrbiter,,
52,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Sun Feb 09, 2020 15:48 UTC",Zafar1,,Failure,Zafar1,,
53,MHI,"LA-Y1, Tanegashima Space Center, Japan","Sun Feb 09, 2020 01:34 UTC",IGS-Optical7,90.0 ,Success,IGS-Optical7,,
54,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Thu Feb 06, 2020 21:42 UTC",OneWeb#2,48.5 ,Success,OneWeb#2,,
55,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Fri Jan 31, 2020 02:56 UTC",BirdsofaFeather/NROL-151,7.5 ,Success,BirdsofaFeather/NROL-151,,
56,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Wed Jan 29, 2020 14:06 UTC",StarlinkV1L3,50.0 ,Success,StarlinkV1L3,,
57,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sun Jan 19, 2020 15:30 UTC",CrewDragonInflightAbortTest,50.0 ,Success,CrewDragonInflightAbortTest,,
58,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Thu Jan 16, 2020 21:05 UTC",EutelsatKonnectBB4A&GSAT-30,200.0 ,Success,EutelsatKonnectBB4A,GSAT-30,
59,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Thu Jan 16, 2020 03:02 UTC",Yinhe-1,,Success,Yinhe-1,,
60,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Jan 15, 2020 02:53 UTC",Jilin-1Wideband01&??uSat-7/8,29.75 ,Success,Jilin-1Wideband01,??uSat-7/8,
61,CASC,"LC-2, Xichang Satellite Launch Center, China","Tue Jan 07, 2020 15:20 UTC",TJSW-5,29.15 ,Success,TJSW-5,,
62,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Jan 07, 2020 02:19 UTC",StarlinkV1L2,50.0 ,Success,StarlinkV1L2,,
63,CASC,"LC-101, Wenchang Satellite Launch Center, China","Fri Dec 27, 2019 12:45 UTC",Shijian-20,,Success,Shijian-20,,
64,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia","Thu Dec 26, 2019 23:11 UTC","Gonets-M???24,25,26[block-15]&Blits-M1",41.8 ,Success,"Gonets-M???24,25,26[block-15]",Blits-M1,
65,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan","Tue Dec 24, 2019 12:03 UTC",Elektro-Ln†­3,65.0 ,Success,Elektro-Ln†­3,,
66,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA","Fri Dec 20, 2019 11:36 UTC",StarlinerOFT,,Success,StarlinerOFT,,
67,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Dec 20, 2019 03:22 UTC","CBERS-4A,ETRSS-1&Others",64.68 ,Success,"CBERS-4A,ETRSS-1",Others,
68,Arianespace,"ELS, Guiana Space Centre, French Guiana, France","Wed Dec 18, 2019 08:54 UTC","CSG-1,CHEOPS&Others",,Success,"CSG-1,CHEOPS",Others,
69,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Tue Dec 17, 2019 00:10 UTC",JCSAT-18/Kacific-1,50.0 ,Success,JCSAT-18/Kacific-1,,
70,CASC,"LC-3, Xichang Satellite Launch Center, China","Mon Dec 16, 2019 07:22 UTC",BeiDou-3M19&M20,,Success,BeiDou-3M19,M20,
71,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA","Wed Dec 11, 2019 17:55 UTC",NS-12,,Success,NS-12,,
72,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India","Wed Dec 11, 2019 09:55 UTC",RISAT2BR1,21.0 ,Success,RISAT2BR1,,
73,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia","Wed Dec 11, 2019 08:54 UTC",Cosmos2544,48.5 ,Success,Cosmos2544,,
74,ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Sat Dec 07, 2019 08:52 UTC",HEAD-2A/B/SpaceTY16/17/Tianqi4A/B,,Success,HEAD-2A/B/SpaceTY16/17/Tianqi4A/B,,
75,ExPace,"Taiyuan Satellite Launch Center, China","Sat Dec 07, 2019 02:55 UTC",Jilin-1Gaofen-02B,,Success,Jilin-1Gaofen-02B,,
76,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Fri Dec 06, 2019 09:34 UTC",ProgressMS-13(74P),48.5 ,Success,ProgressMS-13(74P),,
77,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Fri Dec 06, 2019 08:18 UTC",RunningOutOfFingers,7.5 ,Success,RunningOutOfFingers,,
78,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Thu Dec 05, 2019 17:29 UTC",CRS-19,50.0 ,Success,CRS-19,,
79,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Wed Nov 27, 2019 23:52 UTC",Gaofen-12,64.68 ,Success,Gaofen-12,,
80,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India","Wed Nov 27, 2019 03:58 UTC",Cartosat-3&Rideshares,31.0 ,Success,Cartosat-3,Rideshares,
81,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France","Tue Nov 26, 2019 21:23 UTC",Inmarsat5F5&TIBA-1,200.0 ,Success,Inmarsat5F5,TIBA-1,
82,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Mon Nov 25, 2019 17:52 UTC",Cosmos2542&2543,,Success,Cosmos2542,2543,
83,CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Nov 23, 2019 00:55 UTC",BeiDou-3M21&M22,,Success,BeiDou-3M21,M22,
84,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Sun Nov 17, 2019 10:00 UTC","KL-AlphaA,KL-AlphaB",,Success,"KL-AlphaA,KL-AlphaB",,
85,CASC,"LC-16, Taiyuan Satellite Launch Center, China","Wed Nov 13, 2019 06:35 UTC",Ningxia-1(x5),,Success,Ningxia-1(x5),,
86,ExPace,"Site 95, Jiuquan Satellite Launch Center, China","Wed Nov 13, 2019 03:40 UTC",Jilin1-02A,,Success,Jilin1-02A,,
87,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA","Mon Nov 11, 2019 14:56 UTC",StarlinkV1L1,50.0 ,Success,StarlinkV1L1,,
88,CASC,"LC-2, Xichang Satellite Launch Center, China","Mon Nov 04, 2019 17:43 UTC",Beidou-3IGSO-3,29.15 ,Success,Beidou-3IGSO-3,,
89,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Sun Nov 03, 2019 03:22 UTC",Gaofen-7,64.68 ,Success,Gaofen-7,,
90,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA","Sat Nov 02, 2019 13:59 UTC",CRSNG-12,85.0 ,Success,CRSNG-12,,
91,Exos,"Vertical Launch Area, Spaceport America, New Mexico","Sat Oct 26, 2019 17:40 UTC",Launch4,,Failure,Launch4,,
92,CASC,"LC-3, Xichang Satellite Launch Center, China","Thu Oct 17, 2019 15:21 UTC",TJSW-4,29.15 ,Success,TJSW-4,,
93,Rocket Lab,"Rocket Lab LC-1A, M?hia Peninsula, New Zealand","Thu Oct 17, 2019 01:22 UTC",AsTheCrowFlies,7.5 ,Success,AsTheCrowFlies,,
94,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA","Fri Oct 11, 2019 01:59 UTC",ICON,40.0 ,Success,ICON,,
95,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan","Wed Oct 09, 2019 10:17 UTC",Eutelsat5WestB&MEV-1,65.0 ,Success,Eutelsat5WestB,MEV-1,
96,CASC,"LC-9, Taiyuan Satellite Launch Center, China","Fri Oct 04, 2019 18:51 UTC",Gaofen10(Replacement),64.68 ,Success,Gaofen10(Replacement),,
97,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Thu Sep 26, 2019 07:46 UTC",Cosmos2541,48.5 ,Success,Cosmos2541,,
98,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan","Wed Sep 25, 2019 13:57 UTC",SoyuzMS-15(61S),,Success,SoyuzMS-15(61S),,
99,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Wed Sep 25, 2019 00:54 UTC",Yunhai-1-02,29.75 ,Success,Yunhai-1-02,,
100,MHI,"LA-Y2, Tanegashima Space Center, Japan","Tue Sep 24, 2019 16:05 UTC",HTV-8,112.5 ,Success,HTV-8,,
101,CASC,"LC-2, Xichang Satellite Launch Center, China","Sun Sep 22, 2019 21:10 UTC",BeiDou-3M23&M24,,Success,BeiDou-3M23,M24,
102,CASC,"Site 95, Jiuquan Satellite Launch Center, China","Thu Sep 19, 2019 06:42 UTC",Zhuhai-1Group03,5.3 ,Success,Zhuhai-1Group03,,
